,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,90.05530548095703,90.0549,1,433463.09375,-4.5000000,y_ion,"[""['A5']""]"
1,173.09214782714844,173.0921,1,6590601.0,-0.3000000,i_ion,"[""['J4']""]"
2,204.0868682861328,204.0867,1,12142700.0,-0.8000000,b_ion,"[""['G0']""]"
3,262.1395263671875,262.1397,1,6319018.5,0.66000000,y_ion,"[""['J4', 'A5']""]"
4,278.12322998046875,278.1234,1,1043189.875,0.61000000,i_ion,"[""['M1']""]"
5,302.135009765625,302.1347,1,4937825.5,-1.0000000,i_ion,"[""['E3', 'J4']""]"
6,349.1605224609375,349.1605,1,1785516.875,-0.1000000,i_ion,"[""['M1', 'A2']""]"
7,373.1729736328125,373.1718,1,1854550.375,-3.1000000,i_ion,"[""['A2', 'E3', 'J4']""]"
8,391.18292236328125,391.1823,1,2589995.0,-1.6000000,y_ion,"[""['E3', 'J4', 'A5']""]"
9,462.2159423828125,462.2194,1,400407.4375,7.4800000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
10,739.3399047851562,739.3355,1,966746.0,-6.0000000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
