,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,90.05548095703125,90.0549,1,12609.951171875,-6.5000000,y_ion,"[""['A5']""]"
1,130.05096435546875,130.0499,1,2025.408447265625,-8.2000000,i_ion,"[""['E3']""]"
2,173.09205627441406,173.0921,1,105304.5546875,0.25000000,i_ion,"[""['J4']""]"
3,204.08677673339844,204.0867,1,188465.765625,-0.4000000,b_ion,"[""['G0']""]"
4,262.139404296875,262.1397,1,82357.578125,1.1300000,y_ion,"[""['J4', 'A5']""]"
5,278.123046875,278.1234,1,14263.1455078125,1.2700000,i_ion,"[""['M1']""]"
6,302.13458251953125,302.1347,1,69989.9765625,0.39000000,i_ion,"[""['E3', 'J4']""]"
7,349.159423828125,349.1605,1,26590.986328125,3.0800000,i_ion,"[""['M1', 'A2']""]"
8,373.17169189453125,373.1718,1,23412.546875,0.29000000,i_ion,"[""['A2', 'E3', 'J4']""]"
9,391.1824951171875,391.1823,1,35018.61328125,-0.5000000,y_ion,"[""['E3', 'J4', 'A5']""]"
10,462.2196960449219,462.2194,1,8018.8173828125,-0.6000000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
11,478.2020568847656,478.2031,1,3865.52587890625,2.1800000,i_ion,"[""['M1', 'A2', 'E3']""]"
12,650.2823486328125,650.2879,1,2758.89208984375,8.5400000,i_ion,"[""['M1', 'A2', 'E3', 'J4']""]"
13,739.33447265625,739.3355,1,16598.142578125,1.3900000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
