,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,173.0922393798828,173.0921,1,1168595.0,-0.8000000,i_ion,"[""['J4']""]"
1,205.09066772460938,205.0945,1,296103.375,18.690000,b_ion,"[""['G0']""]"
2,262.13995361328125,262.1397,1,955246.25,-1.0000000,y_ion,"[""['A5', 'J4']""]"
3,278.1234436035156,278.1234,1,127197.8671875,-0.2000000,i_ion,"[""['M1']""]"
4,302.1337890625,302.1347,1,791538.1875,3.0200000,i_ion,"[""['E3', 'J4']""]"
5,349.1609802246094,349.1605,1,241742.53125,-1.4000000,i_ion,"[""['M1', 'A2']""]"
6,373.1733703613281,373.1718,1,226327.34375,-4.2000000,i_ion,"[""['A2', 'E3', 'J4']""]"
7,391.183837890625,391.1823,1,447690.90625,-3.9000000,y_ion,"[""['E3', 'J4', 'A5']""]"
8,462.2155456542969,462.2194,1,61608.35546875,8.3400000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
9,739.3441162109375,739.3355,1,73163.25,-11.700000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
